Countryofbirth,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Oman,160,230,280,300,340,410,500,610,700,840,1040,1060,1140,1180,1250,1250,1260,1320,1400,1560,1840,2080,2160,2190,1880
Qatar,170,190,200,230,250,270,330,360,410,440,500,520,570,610,660,690,790,890,1000,1100,1260,1400,1620,1840,2010
Saudi Arabia,1110,1300,1380,1440,1530,1620,1890,2210,2540,2960,3550,4730,7970,11230,12600,12640,12760,12950,13890,14480,14480,14290,14370,16050,15860
Syria,6620,6800,6950,7160,7320,7610,7790,8010,8130,8260,8440,8650,8840,9130,9330,9670,10110,10550,11540,14170,16320,24420,27390,29500,30320
Turkey,32100,33100,33380,33750,34060,34230,35030,36030,36800,37460,38060,38340,38670,39320,39810,39980,40150,40090,39930,39710,39920,40610,40990,41600,42270
Unit Arab Emir,970,1060,1150,1270,1390,1540,1780,2140,2420,2800,3320,3750,4280,4810,5240,5570,6180,6750,7290,8090,9170,10320,11530,12740,13550
Yemen,290,330,350,380,390,400,420,470,520,520,520,530,550,590,590,610,630,650,680,710,770,840,910,1000,1040
Myanmar,11560,12130,12090,12100,12100,12190,12490,12700,12820,13330,14320,16220,18670,21170,23260,24430,26420,28660,30300,32160,34070,35490,36750,39060,40630
Cambodia,24080,25120,25280,25210,24970,25100,25660,26430,26940,27610,28350,29100,29750,30600,31720,32510,33000,33320,33900,34420,35100,36190,37450,38750,39890
Laos,11020,10880,10730,10590,10450,10350,10390,10420,10470,10600,10670,10790,10890,11010,11110,11300,11280,11170,11110,11030,10950,11050,11090,11190,11370
Thailand,19890,20550,21250,22120,23040,24430,26390,28250,29700,31550,34060,38310,43200,48470,51570,52990,54480,57410,61760,66400,71250,76220,78650,81770,83450
Vietnam,158740,161910,163020,163800,163700,163490,166120,169720,171980,174440,178010,182720,189480,197820,203770,207620,212140,219940,228530,235590,243220,250590,256960,263970,270340
Brunei,1900,2060,2060,2080,2100,2150,2240,2360,2470,2570,2630,2760,2950,3020,3040,3020,2960,2940,2870,2890,2950,3050,3070,3070,3070
Indonesia,49020,51420,53110,55810,58650,53090,57410,59620,60260,60250,60530,61940,65070,68570,71170,73060,74340,75030,75400,77000,78970,82500,85460,89000,92400
Malaysia,82530,83240,83440,83840,84650,86400,89190,93070,97600,101390,105710,111470,118440,124790,129880,134140,136570,138370,139390,143420,152900,164680,173620,176340,177460
Philippines,104820,106450,107620,110190,112180,114260,118360,123300,128610,134580,141890,151190,163040,175020,183770,193030,206110,218870,230190,241130,252690,265780,277630,295410,310050
Singapore,31260,33250,33440,33560,34240,35670,36940,38560,40150,43070,45810,47830,49510,51600,53550,55820,57680,59040,59220,59480,59120,61180,61540,61820,60390
Timor-Leste,0,0,0,0,0,10420,10490,10570,10620,10710,10830,10710,10640,10630,10580,10540,10450,10290,10180,10000,9780,9730,9590,9570,10740
China,118640,128820,132080,138230,144690,153360,169990,187450,205200,227600,251960,278320,313030,344980,371550,387420,406390,432400,466510,508870,557690,606310,649420,667960,650640
Hong Kong,75960,77980,77920,76970,75420,73920,75490,77310,78320,79850,81360,82310,83310,84430,85460,85990,87300,89830,92560,95050,97590,99350,100190,101790,104760
Macau,1970,2050,2060,2100,2050,1960,2000,2060,2070,2100,2090,2210,2350,2480,2560,2610,2610,2630,2650,2780,2930,3050,3070,3160,3070
Mongolia,150,120,120,110,120,130,150,180,210,240,300,320,410,610,700,780,860,960,1240,1780,2560,3600,4820,6360,6770
Taiwan,19380,21540,21800,22150,22410,24140,25590,26210,26030,25860,25860,26690,28280,30160,31360,33450,38560,46620,50650,51880,54040,56110,58600,58420,54440
Japan,25280,24690,24800,25010,25300,25690,27380,29190,31050,33110,35390,37830,39020,39850,40250,41390,43220,44780,46270,47560,49040,50000,49450,49030,47020
North Korea,260,290,320,350,380,410,430,430,440,430,430,360,260,240,230,230,190,170,180,220,240,250,230,190,170
South Korea,30470,31430,33010,34490,36180,38980,41510,44380,47210,51150,55950,64700,73770,81350,84150,85930,91630,97860,101880,106550,111570,114750,116360,116040,111530
Bangladesh,5650,6540,6780,7370,8490,9790,11110,12520,14090,16130,18510,21460,24110,26800,29550,31620,34270,37110,39870,43090,46250,49160,52000,54540,57110
Bhutan,50,50,60,70,70,70,90,110,120,130,140,200,260,960,1690,2680,3370,3980,5200,5850,6420,7400,8980,10900,12800
India,80470,83280,84730,86330,90680,98070,108270,119430,132790,148960,169720,204440,251200,307590,329510,337120,355380,378480,411240,449040,489410,538070,592750,664730,721050
Maldives,170,140,140,150,170,170,210,220,240,280,320,320,370,390,430,440,470,520,550,610,610,610,610,610,680
Nepal,1410,1520,1640,1760,2000,2440,2710,3020,3370,3830,4350,7980,14960,24820,27200,27810,30730,34750,42900,50150,58980,73840,94810,118840,131830
Pakistan,8710,9500,9630,10160,10950,12290,13290,14190,15290,16810,18320,21060,23950,27250,30600,34150,40020,46910,54400,62270,69660,76580,84230,91660,97220
Sri Lanka,53880,55720,56610,57140,58210,60640,63500,66040,67780,70620,73820,78940,85600,92060,96480,99740,104950,110670,115060,119700,124500,129530,134380,140870,146950
Afghanistan,7170,8190,9210,10890,12580,13860,14600,15770,17010,18620,21980,24500,26430,28500,30840,32970,35930,39770,45310,49550,53670,56590,59760,62730,65710
Armenia,910,940,950,970,980,980,980,1040,1090,1110,1130,1140,1170,1180,1200,1220,1280,1330,1400,1460,1520,1540,1550,1550,1570
Azerbaijan,90,120,140,170,190,200,230,250,290,300,300,330,340,390,420,460,500,550,600,650,680,700,720,730,730
Georgia,190,200,220,240,290,360,380,380,390,400,400,440,460,470,490,500,540,590,610,620,650,670,700,730,740
Kazakhstan,190,250,300,320,380,480,500,550,610,670,770,850,950,1080,1190,1310,1500,1650,1780,1920,2020,2140,2220,2320,2430
Kyrgyzstan,30,50,70,80,100,110,140,160,210,240,240,270,310,330,360,400,420,440,470,490,520,550,570,610,630
Tajikistan,30,30,40,40,50,50,50,60,60,70,60,80,80,90,100,110,130,130,150,160,160,160,160,180,190
Turkmenistan,10,10,20,20,30,40,40,50,60,60,60,60,70,80,90,90,90,100,100,100,110,110,120,130,130
